1E7	0.16913
7.78801E6	0.48453
6.06531E6	1.07639
4.72367E6	1.68919
3.67879E6	2.55934
2.86505E6	3.80062
2.2313E6	3.37097
1.73774E6	3.70295
1.35335E6	3.49851
1.05399E6	3.51198
820850	4.78727
639279	4.36694
497871	2.60352
387742	3.38448
301974	3.17102
235177	2.69812
183156	2.20619
142642	2.1862
111090	1.78615
86517	1.8289
67379.5	1.61599
52475.2	1.46838
40867.7	1.31171
31827.8	1.41902
24787.5	1.29109
19304.5	1.2321
15034.4	1.19619
11708.8	1.16421
9118.82	1.14122
7101.74	1.09893
5530.84	1.10547
4307.43	1.08545
3354.63	1.05745
2612.59	1.05298
2034.68	1.04104
1584.61	1.02743
1234.1	1.00466
961.117	0.99026
748.518	0.97081
582.947	0.95932
453.999	0.95151
353.575	0.93594
275.365	0.90224
214.454	0.86718
167.017	0.87979
130.073	0.7652
101.301	0.82713
78.8933	0.76417
61.4421	0.79702
47.8512	0.73787
37.2665	0.60326
29.0232	0.71152
22.6033	0.48208
17.6035	0.66719
13.7096	0.66059
10.677	0.62254
8.31529	0.38403
6.47595	0.46225
5.04348	0.58903
3.92786	0.60808
3.05902	0.62564
2.3824	0.62566
1.8554	0.634
1.6374	0.63625
1.445	0.63384
1.2752	0.59996
1.1254	0.58746
0.99312	0.60393
0.87642	0.61143
0.77344	0.61585
0.68256	0.61757
0.60236	0.61561
0.53158	0.60838
0.46912	0.59455
0.41399	0.58047
0.38926	0.56875
0.36528	0.55524
0.34206	0.54151
0.31961	0.52927
0.29792	0.52306
0.27699	0.52438
0.25683	0.53209
0.23742	0.54361
0.21878	0.55748
0.2009	0.57115
0.18378	0.58616
0.16743	0.6019
0.15183	0.61931
0.137	0.63834
0.12293	0.65449
0.10963	0.6647
0.09708	0.66515
0.0854	0.65156
0.07428	0.61991
0.06402	0.56869
0.05452	0.4997
0.04578	0.41755
0.03781	0.32921
0.0306	0.24255
0.02415	0.16466
0.01847	0.10113
0.01354	0.05461
0.00938	0.02477
0.00598	0.00871
0.00334	0.00202
0.00147	2.05439E-4
3.5238E-4	3.07651E-6
